t,125Hz,250Hz,500Hz,1000Hz,2000Hz
0.0,85.13705943817305,83.68091932296709,82.46441073313228,81.7082521505813,81.01864364707224
4.999999999988347e-05,85.13705943861878,83.68091932296899,82.46441073313228,81.7082521505813,81.01864364707224
9.999999999998899e-05,85.13705943906425,83.68091932297088,82.46441073313228,81.7082521505813,81.01864364707224
0.0001499999999998725,85.13705943950947,83.68091932297276,82.4644107331323,81.7082521505813,81.01864364707224
0.000199999999999978,85.13705943995446,83.68091932297463,82.4644107331323,81.7082521505813,81.01864364707224
0.0002499999999998614,85.13705944039916,83.68091932297652,82.4644107331323,81.7082521505813,81.01864364707224
0.000299999999999967,85.13705944084364,83.68091932297841,82.4644107331323,81.7082521505813,81.01864364707224
0.0003499999999998504,85.13705944128787,83.68091932298029,82.46441073313233,81.7082521505813,81.01864364707224
0.0003999999999999559,85.13705943777678,83.68091931745163,82.46441072581389,81.70825214187099,81.01864363686296
0.0004499999999998394,85.13705943658037,83.68091931516003,82.46441072277898,81.70825213825887,81.01864363262925
0.0004999999999999449,85.13705941310087,83.68091928170935,82.46441067851201,81.70825208557284,81.01864357087655
0.0005499999999998284,85.13705940253955,83.6809192663231,82.46441065814923,81.70825206133733,81.0186435424704
0.0005999999999999339,85.13705932074708,83.68091915133157,82.46441050598115,81.70825188022877,81.01864333019547
0.0006500000000000394,85.13705927985752,83.68091909353673,82.46441042950009,81.70825178920205,81.01864322350436
0.0006999999999999229,85.13705906885306,83.6809187978632,82.46441003823982,81.70825132352967,81.01864267769716
0.0007500000000000284,85.1370589546115,83.68091863749783,82.46440982602964,81.70825107096036,81.01864238166519
0.0007999999999999119,85.13705850236704,83.68091800448896,82.46440898838176,81.7082500740055,81.01864121315396
0.0008500000000000174,85.13705824059656,83.68091763782841,82.46440850318633,81.7082494965345,81.01864053631316
0.0008999999999999009,85.13705738786001,83.68091644479563,82.46440692447293,81.70824761757956,81.01863833403581
0.0009500000000000064,85.137056865136,83.68091571323383,82.46440595641309,81.70824646541496,81.01863698361613
0.0009999999999998899,85.13705540204377,83.6809136667168,82.46440324830637,81.70824324228587,81.01863320588393
0.001049999999999995,85.13705445949583,83.6809123480993,82.46440150341145,81.70824116555492,81.01863077182061
0.001099999999999879,85.13705212474078,83.68090908270263,82.46439718239442,81.7082360227916,81.01862474417936
0.001149999999999984,85.13705055422048,83.68090688596787,82.46439427551147,81.70823256310385,81.01862068922966
0.001199999999999868,85.1370470364222,83.68090196627739,82.46438776541373,81.70822481498138,81.01861160800834
0.001249999999999973,85.1370445791323,83.68089852954017,82.46438321767133,81.70821940241314,81.01860526422416
0.001299999999999857,85.13703951997982,83.68089145451711,82.46437385548377,81.70820825986569,81.01859220465867
0.001349999999999962,85.13703586738751,83.68088634634549,82.46436709598159,81.70820021497433,81.0185827757561
0.001399999999999846,85.13702886611765,83.68087655558858,82.46435414014199,81.70818479546016,81.01856470356154
0.001449999999999951,85.13702366280639,83.68086927899122,82.46434451122659,81.708173335567,81.01855127229442
0.001499999999999835,85.13701428161394,83.68085616030109,82.46432715162808,81.70815267498406,81.01852705764105
0.00154999999999994,85.13700712964969,83.68084615883205,82.46431391697001,81.70813692379133,81.01850859708314
0.001599999999999824,85.13699489967435,83.6808290565815,82.46429128603518,81.70810998966058,81.01847703005859
0.001649999999999929,85.13698536404874,83.68081572195038,82.46427364069754,81.70808898923812,81.01845241766371
0.001700000000000035,85.13696979163842,83.68079394584075,82.46424482496249,81.70805469449341,81.01841222444563
0.001749999999999918,85.1369574063812,83.68077662645801,82.46422190670572,81.70802741873665,81.01838025783164
0.001800000000000024,85.13693797938652,83.68074946031824,82.4641859584597,81.70798463557986,81.01833011693628
0.001849999999999907,85.13692225399227,83.68072747027958,82.46415685962671,81.7079500043573,81.01828953047703
0.001900000000000013,85.13689844789747,83.68069418063611,82.4641128082476,81.70789757775056,81.01822808858122
0.001949999999999896,85.13687887377655,83.68066680873959,82.46407658769124,81.70785447110099,81.01817757005551
0.002000000000000002,85.13685015751898,83.68062665294987,82.46402345040251,81.70779123156933,81.01810345700903
0.002049999999999885,85.13682621424614,83.68059317143002,82.46397914503747,81.70773850345094,81.01804166372318
0.002099999999999991,85.13679205561681,83.68054540522974,82.46391593688824,81.70766327895925,81.01795350647475
0.002149999999999874,85.13676321681248,83.68050507797697,82.46386257256114,81.70759977018616,81.01787908043106
0.00219999999999998,85.13672308736534,83.68044896233968,82.46378831549617,81.7075113969316,81.01777551568145
0.002249999999999863,85.13668882609642,83.68040105244737,82.46372491696498,81.70743594704929,81.01768709750147
0.002299999999999969,85.13664220552391,83.68033585969754,82.4636386479055,81.70733327907571,81.01756678297406
0.002349999999999852,85.13660199915495,83.68027963624036,82.4635642478013,81.70724473702414,81.01746302439915
0.002399999999999958,85.1365483791114,83.68020465539368,82.46346502570327,81.70712665461835,81.0173246486811
0.002449999999999841,85.13650171357318,83.68013939939058,82.4633786724126,81.70702388810935,81.01720422356428
0.002499999999999947,85.13644060094674,83.6800539407234,82.46326558430447,81.70688930498187,81.01704651452155
0.00254999999999983,85.13638697441553,83.67997895027672,82.46316634876106,81.70677120857772,81.01690812829534
0.002599999999999936,85.13631789406483,83.67988234914662,82.4630385147907,81.70661907786382,81.01672986010331
0.002650000000000041,85.1362568200669,83.67979694377706,82.4629254962032,81.70648457978874,81.01657225776097
0.002699999999999925,85.1361793170493,83.67968856373268,82.46278207374438,81.7063138989295,81.01637225662122
0.00275000000000003,85.13611032701854,83.67959208795013,82.4626544043131,81.70616196667736,81.01619422928552
